2025-12-03T08:38:55.183Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.231Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.271Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.323Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.200Z sh[3141]:  active
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386373: wlan0: WPA: not using MGMT group cipher
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386388: WPA: Set own WPA IE default - hexdump(len=22): 30 14 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 80 00
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386411: RSN: Set own RSNXE default - hexdump(len=0):
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386418: WPA: Set PMK based on external data - hexdump(len=32): [REMOVED]
2026-01-15T02:46:34.386Z sh[3238]:  1768445194.386430: wlan0: Automatic auth_alg selection: 0x1
2026-01-15T02:46:34.399Z sh[3238]:  1768445194.386476: Added supported operating classes IE - hexdump(len=22): 3b 14 80 51 53 54 73 74 75 76 77 78 79 7a 7b 7c 7d 7e 7f 80 81 82
2026-01-15T02:46:34.399Z sh[3238]:  1768445194.388448: wlan0: Trying to associate with SSID 'TALKTALK695DDE'
2026-01-15T02:46:34.399Z sh[3238]:  1768445194.388469: wlan0: Cancelling scan request
2026-01-15T02:46:34.399Z sh[3238]:  1768445194.388484: wlan0: State: INACTIVE -> ASSOCIATING
2026-01-15T02:46:34.399Z sh[3238]:  1768445194.388494: nl80211: Set wlan0 operstate 0->0 (DORMANT)
2026-01-15T02:46:34.400Z sh[3238]:  1768445194.388503: netlink: Operstate: ifindex=6 linkmode=-1 (no change), operstate=5 (IF_OPER_DORMANT)
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.388555: wlan0: Determining shared radio frequencies (max len 2)
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.388569: wlan0: Shared frequencies (len=0): completed iteration
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.388583: P2P: Add operating class 81
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.389150: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.389243: P2P: Update channel list
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.389271: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.389285: P2P: cli_channels:
2026-01-15T02:46:34.401Z sh[3238]:  1768445194.389302: nl80211: Set mode ifindex 6 iftype 2 (STATION)
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.389399: nl80211: Unsubscribe mgmt frames handle 0x889e0451 (mode change)
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390219: nl80211: Subscribe to mgmt frames with non-AP handle 0x168cd8
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390240: nl80211: Register frame type=0xb0 (WLAN_FC_STYPE_AUTH) nl_handle=0x168cd8 match=0300 multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390312: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0104 multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390354: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040a multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390394: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040b multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390432: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040c multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390471: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=040d multicast=0
2026-01-15T02:46:34.402Z sh[3238]:  1768445194.390515: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090a multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.390554: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090b multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.390594: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090c multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.390633: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=090d multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392354: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0409506f9a09 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392420: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7f506f9a09 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392462: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0801 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392500: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=12 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392540: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=06 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392581: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a07 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392619: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a11 multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392656: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0a0b multicast=0
2026-01-15T02:46:34.428Z sh[3238]:  1768445194.392695: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1101 multicast=0
2026-01-15T02:46:34.429Z sh[3238]:  1768445194.392733: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1102 multicast=0
2026-01-15T02:46:34.429Z sh[3238]:  1768445194.394389: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0505 multicast=0
2026-01-15T02:46:34.429Z sh[3238]:  1768445194.394463: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=0500 multicast=0
2026-01-15T02:46:34.429Z sh[3238]:  1768445194.394503: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1301 multicast=0
2026-01-15T02:46:34.429Z sh[3238]:  1768445194.394543: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=1305 multicast=0
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394585: nl80211: Register frame type=0xd0 (WLAN_FC_STYPE_ACTION) nl_handle=0x168cd8 match=7e506f9a1a multicast=0
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394633: nl80211: Key management set PSK
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394642: nl80211: Connect (ifindex=6)
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394653:   * bssid_hint=10:d7:b0:69:5d:dc
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394663:   * freq_hint=5280
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394671:   * SSID=TALKTALK695DDE
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394678:   * IEs - hexdump(len=57): 30 14 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 80 00 7f 0b 00 00 02 02 00 40 40 00 00 00 20 3b 14 80 51 53 54 73 74 75 76 77 78 79 7a 7b 7c 7d 7e 7f 80 81 82
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394715:   * WPA Versions 0x2
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394722:   * pairwise=0xfac04
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394729:   * group=0xfac04
2026-01-15T02:46:34.433Z sh[3238]:  1768445194.394736:   * akm=0xfac02
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.394744:   * Auth Type 0
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.401729: nl80211: Connect request send successfully
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.401758: wlan0: Setting authentication timeout: 10 sec 0 usec
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.401781: EAPOL: External notification - EAP success=0
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.401793: EAPOL: External notification - EAP fail=0
2026-01-15T02:46:34.434Z sh[3238]:  1768445194.401801: EAPOL: External notification - portControl=Auto
2026-01-15T02:46:34.533Z sh[3238]:  1768445194.532581: RTM_NEWLINK: ifi_index=6 ifname=wlan0 wext ifi_family=0 ifi_flags=0x1003 ([UP])
2026-01-15T02:46:34.534Z sh[3238]:  1768445194.534016: RTM_NEWLINK: ifi_index=6 ifname=wlan0 wext ifi_family=0 ifi_flags=0x1003 ([UP])
2026-01-15T02:46:34.534Z sh[3238]:  1768445194.534108: RTM_NEWLINK: ifi_index=6 ifname=wlan0 operstate=5 linkmode=1 ifi_family=0 ifi_flags=0x11003 ([UP][LOWER_UP])
2026-01-15T02:46:34.534Z sh[3238]:  1768445194.534301: nl80211: Drv Event 46 (NL80211_CMD_CONNECT) received for wlan0
2026-01-15T02:46:34.535Z sh[3238]:  1768445194.534316: nl80211: Connect event (status=0 ignore_next_local_disconnect=0)
2026-01-15T02:46:34.535Z sh[3238]:  1768445194.534446: nl80211: Associated on 5280 MHz
2026-01-15T02:46:34.536Z sh[3238]:  1768445194.534456: nl80211: Associated with 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535045: nl80211: Operating frequency for the associated BSS from scan results: 5280 MHz
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535150: nl80211: Associated on 5280 MHz
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535160: nl80211: Associated with 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535187: nl80211: Set drv->ssid based on scan res info to 'TALKTALK695DDE'
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535202: wlan0: Event ASSOC (0) received
2026-01-15T02:46:34.537Z sh[3238]:  1768445194.535219: wlan0: Association info event
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.535228: req_ies - hexdump(len=205): 00 0e 54 41 4c 4b 54 41 4c 4b 36 39 35 44 44 45 01 08 8c 12 98 24 b0 48 60 6c c7 01 12 21 02 08 17 24 32 24 01 28 01 2c 01 30 01 34 01 38 01 3c 01 40 01 64 01 68 01 6c 01 70 01 74 01 78 01 7c 01 80 01 84 01 88 01 8c 01 90 01 95 01 99 01 9d 01 a1 01 a5 01 2d 1a ef 01 13 ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 30 16 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 00 00 00 00 3b 14 80 51 53 54 73 74 75 76 77 78 79 7a 7b 7c 7d 7e 7f 80 81 82 7f 08 04 00 00 00 00 00 00 40 bf 0c b2 71 90 33 fa ff 62 03 fa ff 62 03 dd 07 00 50 f2 02 00 01 00 dd 0b 8c fd f0 01 01 02 01 00 02 01 01
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.535343: resp_ies - hexdump(len=172): 01 08 8c 12 98 24 b0 48 60 6c 2d 1a ef 01 17 ff ff 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3d 16 38 07 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7f 08 04 00 08 80 00 00 00 40 bf 0c b2 69 8b 0f aa ff 00 00 aa ff 00 00 c0 05 01 3a 00 00 00 dd 18 00 50 f2 04 10 4a 00 01 10 10 3b 00 01 03 10 49 00 06 00 37 2a 00 01 20 dd 05 00 90 4c 04 17 dd 09 00 10 18 02 04 04 9c 00 00 dd 18 00 50 f2 02 01 01 80 00 03 a4 00 00 27 a4 00 00 42 43 5e 00 62 32 2f 00 dd 07 50 6f 9a 16 01 01 00
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.535445: wlan0: freq=5280 MHz
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.535457: WPA: set own WPA/RSN IE - hexdump(len=24): 30 16 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 00 00 00 00
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.535483: wlan0: RSN: PMKID from assoc IE not found from PMKSA cache
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.536593: wlan0: RSN: clearing own RSNXE
2026-01-15T02:46:34.538Z sh[3238]:  1768445194.536614: wlan0: State: ASSOCIATING -> ASSOCIATED
2026-01-15T02:46:34.539Z sh[3238]:  1768445194.536625: nl80211: Set wlan0 operstate 0->0 (DORMANT)
2026-01-15T02:46:34.539Z sh[3238]:  1768445194.536634: netlink: Operstate: ifindex=6 linkmode=-1 (no change), operstate=5 (IF_OPER_DORMANT)
2026-01-15T02:46:34.539Z sh[3238]:  1768445194.536687: wlan0: Determining shared radio frequencies (max len 2)
2026-01-15T02:46:34.539Z sh[3238]:  1768445194.536701: wlan0: Shared frequencies (len=1): completed iteration
2026-01-15T02:46:34.539Z sh[3238]:  1768445194.536712: wlan0: freq[0]: 5280, flags=0x1
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536725: P2P: Add operating class 81
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536737: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536827: P2P: Update channel list
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536847: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536859: P2P: cli_channels:
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536883: wlan0: Associated to a new BSS: BSSID=10:d7:b0:69:5d:dc
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536905: WPA: Update cipher suite selection based on IEs in driver-generated WPA/RSNE in AssocReq - hexdump(len=92): 30 16 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 00 00 00 00 3b 14 80 51 53 54 73 74 75 76 77 78 79 7a 7b 7c 7d 7e 7f 80 81 82 7f 08 04 00 00 00 00 00 00 40 bf 0c b2 71 90 33 fa ff 62 03 fa ff 62 03 dd 07 00 50 f2 02 00 01 00 dd 0b 8c fd f0 01 01 02 01 00 02 01 01
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536965: wlan0: WPA: AP key_mgmt 0x2 network key_mgmt 0x142; available key_mgmt 0x2
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536979: wlan0: WPA: using KEY_MGMT WPA2-PSK and proto 2
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.536996: wlan0: WPA: AP pairwise cipher 0x10 network pairwise cipher 0x18; available pairwise cipher 0x10
2026-01-15T02:46:34.540Z sh[3238]:  1768445194.537009: wlan0: WPA: using PTK CCMP
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537024: wlan0: WPA: AP group cipher 0x10 network group cipher 0x18; available group cipher 0x10
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537035: wlan0: WPA: using GTK CCMP
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537047: wlan0: WPA: AP mgmt_group_cipher 0x20 network mgmt_group_cipher 0x0; available mgmt_group_cipher 0x20
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537057: wlan0: WPA: STA/AP is not MFP capable; AP RSNE caps 0xc
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537606: wlan0: WPA: not using MGMT group cipher
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537624: wlan0: WPA: clearing AP WPA IE
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537634: WPA: set AP RSN IE - hexdump(len=22): 30 14 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 0c 00
2026-01-15T02:46:34.541Z sh[3238]:  1768445194.537656: wlan0: WPA: clearing AP RSNXE
2026-01-15T02:46:34.542Z sh[3238]:  1768445194.537670: wlan0: Associated with 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.542Z sh[3238]:  1768445194.537680: wlan0: WPA: Association event - clear replay counter
2026-01-15T02:46:34.542Z sh[3238]:  1768445194.537690: wlan0: WPA: Clear old PTK
2026-01-15T02:46:34.542Z sh[3238]:  1768445194.537699: EAPOL: External notification - portEnabled=0
2026-01-15T02:46:34.542Z sh[3238]:  1768445194.537712: EAPOL: External notification - portValid=0
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537722: EAPOL: External notification - EAP success=0
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537730: EAPOL: External notification - portEnabled=1
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537737: EAPOL: SUPP_PAE entering state CONNECTING
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537743: EAPOL: enable timer tick
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537751: EAPOL: SUPP_BE entering state IDLE
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537761: wlan0: Setting authentication timeout: 10 sec 0 usec
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537773: wlan0: Cancelling scan request
2026-01-15T02:46:34.543Z sh[3238]:  1768445194.537787: MBO: Disable MBO/OCE due to misbehaving AP not having enabled PMF
2026-01-15T02:46:34.544Z sh[3238]:  1768445194.537796: wlan0: CTRL-EVENT-SUBNET-STATUS-UPDATE status=0
2026-01-15T02:46:34.544Z sh[3238]:  1768445194.537818: l2_packet_receive: src=10:d7:b0:69:5d:dc len=99
2026-01-15T02:46:34.544Z sh[3238]:  1768445194.537833: wlan0: RX EAPOL from 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.544Z sh[3238]:  1768445194.537844: wlan0: Setting authentication timeout: 10 sec 0 usec
2026-01-15T02:46:34.544Z sh[3238]:  1768445194.537859: wlan0: IEEE 802.1X RX: version=2 type=3 length=95
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537870: wlan0:   EAPOL-Key type=2
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537885: wlan0:   key_info 0x8a (ver=2 keyidx=0 rsvd=0 Pairwise Ack)
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537896: wlan0:   key_length=16 key_data_length=0
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537904:   replay_counter - hexdump(len=8): 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537916:   key_nonce - hexdump(len=32): 4e 7a 4a 6d 75 a5 cc 79 2d 92 8c 5b b2 9e dc f4 02 51 4b e8 de fd dc c5 cc 24 4e 96 42 23 05 19
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537938:   key_iv - hexdump(len=16): 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537954:   key_rsc - hexdump(len=8): 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537964:   key_id (reserved) - hexdump(len=8): 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537975:   key_mic - hexdump(len=16): 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.537998: wlan0: State: ASSOCIATED -> 4WAY_HANDSHAKE
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.538022: wlan0: Determining shared radio frequencies (max len 2)
2026-01-15T02:46:34.545Z sh[3238]:  1768445194.538035: wlan0: Shared frequencies (len=1): completed iteration
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538046: wlan0: freq[0]: 5280, flags=0x1
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538057: P2P: Add operating class 81
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538067: P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538693: P2P: Update channel list
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538719: P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538732: P2P: cli_channels:
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538748: wlan0: WPA: RX message 1 of 4-Way Handshake from 10:d7:b0:69:5d:dc (ver=2)
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538757: RSN: msg 1/4 key data - hexdump(len=0):
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.538989: WPA: Renewed SNonce - hexdump(len=32): 85 51 53 fb 79 c0 a7 93 93 8a 82 43 3d be 97 6f 24 1b ee c8 a3 c5 b7 8a 56 a9 de b9 a7 56 ea ae
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.539016: WPA: PTK derivation using PRF(SHA1)
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.539058: WPA: PTK derivation - A1=d4:52:ee:59:e3:e8 A2=10:d7:b0:69:5d:dc
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.539070: WPA: Nonce1 - hexdump(len=32): 85 51 53 fb 79 c0 a7 93 93 8a 82 43 3d be 97 6f 24 1b ee c8 a3 c5 b7 8a 56 a9 de b9 a7 56 ea ae
2026-01-15T02:46:34.546Z sh[3238]:  1768445194.539092: WPA: Nonce2 - hexdump(len=32): 4e 7a 4a 6d 75 a5 cc 79 2d 92 8c 5b b2 9e dc f4 02 51 4b e8 de fd dc c5 cc 24 4e 96 42 23 05 19
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539114: WPA: PMK - hexdump(len=32): [REMOVED]
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539121: WPA: PTK - hexdump(len=48): [REMOVED]
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539669: WPA: KCK - hexdump(len=16): [REMOVED]
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539677: WPA: KEK - hexdump(len=16): [REMOVED]
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539685: WPA: TK - hexdump(len=16): [REMOVED]
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539693: WPA: WPA IE for msg 2/4 - hexdump(len=24): 30 16 01 00 00 0f ac 04 01 00 00 0f ac 04 01 00 00 0f ac 02 00 00 00 00
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539749: WPA: Replay Counter - hexdump(len=8): 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539763: wlan0: WPA: Sending EAPOL-Key 2/4
2026-01-15T02:46:34.547Z sh[3238]:  1768445194.539773: WPA: Send EAPOL-Key frame to 10:d7:b0:69:5d:dc ver=2 mic_len=16 key_mgmt=0x2
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.539783: WPA: EAPOL-Key MIC using HMAC-SHA1
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.539813: WPA: KCK - hexdump(len=16): [REMOVED]
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.539821: WPA: Derived Key MIC - hexdump(len=16): 03 a7 02 20 2a 45 0d c7 08 ce ce ac 2a be 40 70
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.539949: RTM_NEWLINK: ifi_index=6 ifname=wlan0 wext ifi_family=0 ifi_flags=0x11003 ([UP][LOWER_UP])
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.540010: RTM_NEWLINK: ifi_index=6 ifname=wlan0 wext ifi_family=0 ifi_flags=0x11003 ([UP][LOWER_UP])
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.540041: RTM_NEWLINK: ifi_index=6 ifname=wlan0 wext ifi_family=0 ifi_flags=0x11003 ([UP][LOWER_UP])
2026-01-15T02:46:34.556Z sh[3238]:  1768445194.548539: l2_packet_receive: src=10:d7:b0:69:5d:dc len=155
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548572: wlan0: RX EAPOL from 10:d7:b0:69:5d:dc
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548596: wlan0: IEEE 802.1X RX: version=2 type=3 length=151
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548608: wlan0:   EAPOL-Key type=2
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548625: wlan0:   key_info 0x13ca (ver=2 keyidx=0 rsvd=0 Pairwise Install Ack MIC Secure Encr)
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548637: wlan0:   key_length=16 key_data_length=56
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548645:   replay_counter - hexdump(len=8): 00 00 00 00 00 00 00 01
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548658:   key_nonce - hexdump(len=32): 4e 7a 4a 6d 75 a5 cc 79 2d 92 8c 5b b2 9e dc f4 02 51 4b e8 de fd dc c5 cc 24 4e 96 42 23 05 19
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548680:   key_iv - hexdump(len=16): 53 be e1 e8 59 b7 90 1c bb 94 7d 3d 30 45 71 8d
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548694:   key_rsc - hexdump(len=8): 91 2c 16 00 00 00 00 00
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548705:   key_id (reserved) - hexdump(len=8): 00 00 00 00 00 00 00 00
2026-01-15T02:46:34.557Z sh[3238]:  1768445194.548716:   key_mic - hexdump(len=16): b9 e2 26 ae f2 6a 85 56 c3 2c 1a 9a 5f 25 3e db
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548735: WPA: EAPOL-Key MIC using HMAC-SHA1
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548781: RSN: encrypted key data - hexdump(len=56): 88 a3 82 a5 91 48 24 b8 01 bd 38 15 47 a3 5b 5d 77 6a ff cb 81 da 89 7d 94 0b 11 51 eb e3 ac 09 71 93 b1 d8 1d 94 dd af a2 53 77 65 70 49 dc 4c a8 06 9e 36 48 10 bb d9
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548818: WPA: Decrypt Key Data using AES-UNWRAP (KEK length 16)
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548864: WPA: decrypted EAPOL-Key key data - hexdump(len=48): [REMOVED]
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548876: wlan0: State: 4WAY_HANDSHAKE -> 4WAY_HANDSHAKE
2026-01-15T02:46:34.575Z sh[3238]:  1768445194.548891: wlan0: WPA: RX message 3 of 4-Way Handshake from 10:d7:b0:69:5d:dc (ver=2)
